id,full_name,age,occupation,lga,ward,street,declared_income,property_value,business_owner,sector,compliance_score,created_at
28,Dawn Harrison,59,Amenity horticulturist,Surulere,Ward 5 Surulere,Street 3 Ward 5 Surulere,3796700.0,10538548.04,False,Finance,54.75,2020-07-25
29,Casey Costa,51,Naval architect,Ikorodu,Ward 2 Ikorodu,Street 6 Ward 2 Ikorodu,4285036.0,9385680.6,True,Finance,65.87,2024-07-22
30,Melissa Edwards,27,Community arts worker,Badagry,Ward 5 Badagry,Street 8 Ward 5 Badagry,5872519.5,13293404.38,False,Real Estate,63.54,2022-06-07
31,Raymond Young,45,"Investment banker, corporate",Eti-Osa,Ward 5 Eti-Osa,Street 10 Ward 5 Eti-Osa,9825291.0,20320425.71,False,Transport,53.6,2024-05-25
32,Charles Coleman,70,Garment/textile technologist,Kosofe,Ward 2 Kosofe,Street 6 Ward 2 Kosofe,407382.0,988769.46,False,Retail,82.03,2020-05-29
33,John Fritz,53,"Civil engineer, contracting",Yaba,Ward 4 Yaba,Street 10 Ward 4 Yaba,4935144.0,8231601.62,False,Transport,52.57,2023-05-08
34,Cynthia Gordon,43,"Lecturer, further education",Epe,Ward 1 Epe,Street 7 Ward 1 Epe,5011938.0,11543180.22,False,Transport,43.27,2022-11-25
35,Emily Salazar,23,Chiropodist,Mushin,Ward 2 Mushin,Street 4 Ward 2 Mushin,3737764.5,14929298.98,False,Retail,68.32,2025-06-30
36,Travis Jordan,60,"Engineer, manufacturing",Somolu,Ward 3 Somolu,Street 2 Ward 3 Somolu,2977711.5,5372580.17,False,Tech,89.62,2023-10-06
37,Jeanne Smith,61,Insurance claims handler,Apapa,Ward 4 Apapa,Street 4 Ward 4 Apapa,2458198.5,5107452.83,True,Hospitality,67.46,2022-09-10
38,Brandi Scott,41,"Psychotherapist, dance movement",Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 6 Ward 4 Ifako-Ijaiye,5051406.0,14098601.57,True,Manufacturing,83.63,2024-12-04
39,Mary Spencer,69,"Surveyor, commercial/residential",Agege,Ward 5 Agege,Street 6 Ward 5 Agege,1204273.0,3636384.51,False,Manufacturing,41.92,2021-10-11
40,Brenda Shields,43,"Scientist, research (medical)",Badagry,Ward 5 Badagry,Street 4 Ward 5 Badagry,4847671.5,10263428.89,True,Manufacturing,46.44,2022-08-31
41,Theresa Chambers,30,Electrical engineer,Agege,Ward 2 Agege,Street 1 Ward 2 Agege,4012012.0,13008628.24,False,Transport,78.97,2020-06-02
42,Jacob Perry,69,"Embryologist, clinical",Yaba,Ward 2 Yaba,Street 6 Ward 2 Yaba,2157684.0,7001848.45,False,Real Estate,76.75,2022-10-16
43,Dr. Jason Flores DDS,53,Warehouse manager,Kosofe,Ward 5 Kosofe,Street 9 Ward 5 Kosofe,1463413.5,3330861.72,False,Manufacturing,86.96,2020-01-05
44,Rose Yates,66,Advice worker,Amuwo-Odofin,Ward 5 Amuwo-Odofin,Street 5 Ward 5 Amuwo-Odofin,534943.5,1319537.56,True,Hospitality,64.73,2025-05-21
45,Christina Figueroa,23,Research scientist (physical sciences),Kosofe,Ward 3 Kosofe,Street 10 Ward 3 Kosofe,2941491.0,4997703.71,False,Real Estate,73.34,2023-07-16
46,Michael Ellis,56,Pensions consultant,Badagry,Ward 4 Badagry,Street 5 Ward 4 Badagry,2208928.5,4275149.76,False,Finance,93.22,2023-01-14
47,Alisha Acevedo,29,Contractor,Yaba,Ward 4 Yaba,Street 10 Ward 4 Yaba,3954610.0,8013179.9,True,Tech,72.87,2024-11-02
48,Willie Smith,26,Radio producer,Apapa,Ward 5 Apapa,Street 2 Ward 5 Apapa,2567938.5,4706080.87,False,Finance,50.31,2025-01-10
49,Laura Hall,43,Event organiser,Yaba,Ward 2 Yaba,Street 5 Ward 2 Yaba,7784980.0,21296591.27,True,Real Estate,77.63,2021-03-14
50,James Rodriguez,35,"Therapist, nutritional",Ikorodu,Ward 5 Ikorodu,Street 5 Ward 5 Ikorodu,2256438.0,7562098.0,True,Transport,80.85,2022-11-22
51,Ashley Walters,36,Agricultural engineer,Somolu,Ward 3 Somolu,Street 1 Ward 3 Somolu,6553714.5,12171549.36,True,Transport,64.49,2024-10-04
52,Hailey Sawyer,40,Arboriculturist,Apapa,Ward 1 Apapa,Street 10 Ward 1 Apapa,1538386.5,3624968.42,True,Finance,66.91,2024-04-14
53,Brian Evans,60,"Production designer, theatre/television/film",Victoria Island,Ward 2 Victoria Island,Street 1 Ward 2 Victoria Island,2735704.0,7382878.91,False,Finance,77.54,2021-10-11
54,Aaron Steele,43,Legal secretary,Lekki,Ward 3 Lekki,Street 6 Ward 3 Lekki,13265232.0,41300919.0,True,Finance,80.11,2021-07-12
55,Christopher Lopez,67,"Designer, ceramics/pottery",Lekki,Ward 4 Lekki,Street 9 Ward 4 Lekki,7141692.0,20510985.62,False,Real Estate,81.92,2023-03-23
56,Philip Reynolds,59,"Surveyor, planning and development",Kosofe,Ward 2 Kosofe,Street 8 Ward 2 Kosofe,2870601.0,10309711.47,False,Manufacturing,44.21,2022-09-11
57,Jerry Morgan,53,Television camera operator,Victoria Island,Ward 2 Victoria Island,Street 1 Ward 2 Victoria Island,7847596.0,30904898.22,True,Finance,73.4,2021-01-06
58,Deanna Carter,32,Counselling psychologist,Eti-Osa,Ward 4 Eti-Osa,Street 2 Ward 4 Eti-Osa,8160135.0,18401643.04,False,Real Estate,98.36,2025-02-23
59,Tammy Gibson MD,49,Photographer,Epe,Ward 5 Epe,Street 4 Ward 5 Epe,3113703.0,7263033.46,True,Real Estate,83.01,2025-05-05
60,Penny Mcbride,70,Editorial assistant,Lekki,Ward 3 Lekki,Street 7 Ward 3 Lekki,15908864.0,42791913.71,True,Manufacturing,89.75,2022-07-04
61,Ryan Tran,56,Geophysicist/field seismologist,Epe,Ward 4 Epe,Street 5 Ward 4 Epe,3567256.5,7631765.0,True,Retail,64.83,2024-08-05
62,Aaron Valencia,46,Garment/textile technologist,Victoria Island,Ward 3 Victoria Island,Street 9 Ward 3 Victoria Island,11641580.0,19990879.52,True,Retail,65.27,2020-01-10
63,Kimberly Gray,42,Occupational psychologist,Surulere,Ward 1 Surulere,Street 2 Ward 1 Surulere,7531156.0,29600236.51,False,Tech,99.33,2025-08-26
64,Lisa King,66,Theatre stage manager,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 7 Ward 4 Ifako-Ijaiye,405334.5,1089114.85,False,Hospitality,89.37,2020-02-28
65,Carrie Davis,28,Press photographer,Agege,Ward 4 Agege,Street 8 Ward 4 Agege,3515444.0,9101048.44,False,Real Estate,51.48,2024-12-07
66,Nancy Davis,63,Network engineer,Eti-Osa,Ward 2 Eti-Osa,Street 7 Ward 2 Eti-Osa,2063046.0,5588407.45,False,Retail,80.47,2021-09-23
67,Alyssa Coleman,34,Charity fundraiser,Badagry,Ward 3 Badagry,Street 4 Ward 3 Badagry,6232374.0,11969121.28,False,Transport,74.95,2021-04-26
68,Juan Hunt,59,Oceanographer,Shomolu,Ward 2 Shomolu,Street 2 Ward 2 Shomolu,3617412.0,6981564.94,False,Retail,51.41,2021-10-18
69,Paul Stephens,58,Advertising copywriter,Somolu,Ward 4 Somolu,Street 9 Ward 4 Somolu,6526047.0,25956954.64,True,Transport,87.88,2025-09-10
70,Vanessa Cole,23,"Presenter, broadcasting",Eti-Osa,Ward 4 Eti-Osa,Street 2 Ward 4 Eti-Osa,14717988.0,31009414.06,False,Tech,55.86,2024-04-11
71,Joshua Kemp,50,Futures trader,Ikeja,Ward 4 Ikeja,Street 7 Ward 4 Ikeja,11318222.5,23228993.89,False,Transport,55.98,2023-08-16
72,Patrick Delgado,40,"Horticulturist, amenity",Surulere,Ward 3 Surulere,Street 4 Ward 3 Surulere,6512606.0,14936669.42,False,Transport,51.51,2025-11-21
73,Ryan Martinez,64,"Engineer, land",Agege,Ward 5 Agege,Street 9 Ward 5 Agege,1592494.0,5736864.08,False,Hospitality,82.26,2022-12-28
74,Rebecca Bell,23,"Teacher, special educational needs",Apapa,Ward 3 Apapa,Street 3 Ward 3 Apapa,5257663.5,19216403.92,True,Finance,71.9,2024-12-06
75,Craig Walton,70,Copy,Lekki,Ward 5 Lekki,Street 8 Ward 5 Lekki,13848056.0,30163362.27,True,Hospitality,91.31,2023-08-17
76,Lisa Jones,68,Civil Service administrator,Epe,Ward 1 Epe,Street 6 Ward 1 Epe,4566991.5,17147659.29,False,Retail,45.05,2022-04-21
77,Michelle Pierce,47,Psychiatrist,Lekki,Ward 2 Lekki,Street 6 Ward 2 Lekki,11437196.0,29156015.21,False,Manufacturing,62.06,2024-01-13
78,Dakota Smith,62,Market researcher,Alimosho,Ward 2 Alimosho,Street 8 Ward 2 Alimosho,3886635.0,8117679.96,False,Retail,61.79,2020-10-28
79,David Potter,41,Information systems manager,Ikeja,Ward 5 Ikeja,Street 3 Ward 5 Ikeja,6609282.5,20503109.57,False,Finance,76.4,2024-06-01
80,Keith Wilson,24,Fisheries officer,Ikorodu,Ward 1 Ikorodu,Street 1 Ward 1 Ikorodu,1769745.0,3203461.59,True,Transport,59.89,2024-07-23
81,Michael Patterson,55,Hospital pharmacist,Agege,Ward 3 Agege,Street 2 Ward 3 Agege,4001591.0,8088128.82,False,Transport,81.73,2024-07-26
82,Shane Cannon,47,"Surveyor, minerals",Victoria Island,Ward 3 Victoria Island,Street 6 Ward 3 Victoria Island,12780368.0,36706267.2,True,Finance,55.89,2020-03-11
83,Karen Jennings,21,Ceramics designer,Badagry,Ward 4 Badagry,Street 1 Ward 4 Badagry,6993481.5,21868279.54,False,Real Estate,46.98,2025-05-08
84,Micheal Bell,62,Armed forces logistics/support/administrative officer,Shomolu,Ward 1 Shomolu,Street 10 Ward 1 Shomolu,1004013.0,3325442.92,False,Transport,67.14,2021-04-12
85,Haley Woodard,49,Plant breeder/geneticist,Lekki,Ward 5 Lekki,Street 4 Ward 5 Lekki,8269040.0,25817015.98,True,Hospitality,93.19,2023-05-16
86,Eric Richmond,32,"Designer, graphic",Alimosho,Ward 1 Alimosho,Street 4 Ward 1 Alimosho,949972.0,2667003.77,False,Real Estate,86.51,2021-11-09
87,Laura Rowe,63,"Engineer, maintenance (IT)",Apapa,Ward 5 Apapa,Street 10 Ward 5 Apapa,3949957.5,11733611.24,True,Hospitality,86.62,2024-08-15
88,Jennifer Beasley,62,"Journalist, newspaper",Oshodi-Isolo,Ward 1 Oshodi-Isolo,Street 3 Ward 1 Oshodi-Isolo,2832322.5,4841801.58,True,Retail,50.22,2022-09-26
89,Alisha Bailey,56,Equality and diversity officer,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 7 Ward 5 Oshodi-Isolo,4298586.0,11046321.9,False,Real Estate,86.93,2022-06-04
90,Gregory Gonzales,40,Special effects artist,Kosofe,Ward 2 Kosofe,Street 7 Ward 2 Kosofe,2840592.0,10377801.45,True,Hospitality,78.15,2025-08-24
91,Valerie Cunningham,44,Financial risk analyst,Amuwo-Odofin,Ward 3 Amuwo-Odofin,Street 9 Ward 3 Amuwo-Odofin,3867685.5,7899404.51,False,Finance,49.24,2021-10-29
92,Michelle Mccarty,56,Midwife,Apapa,Ward 5 Apapa,Street 7 Ward 5 Apapa,7149495.0,21778195.77,True,Retail,65.06,2020-08-05
93,Patrick Hopkins,59,Office manager,Agege,Ward 5 Agege,Street 1 Ward 5 Agege,3969386.0,7283718.01,False,Real Estate,46.54,2021-05-27
94,Rachael Patrick,37,Museum/gallery conservator,Shomolu,Ward 3 Shomolu,Street 5 Ward 3 Shomolu,6673774.5,13986554.87,False,Tech,57.49,2024-02-13
95,Marvin Silva,51,Geographical information systems officer,Ikeja,Ward 3 Ikeja,Street 7 Ward 3 Ikeja,4646592.5,14048406.3,False,Finance,41.23,2024-07-18
96,Gary Francis,51,"Designer, jewellery",Agege,Ward 5 Agege,Street 2 Ward 5 Agege,4760099.0,15220873.4,False,Tech,97.54,2024-07-15
97,Matthew Collier,53,Special educational needs teacher,Somolu,Ward 3 Somolu,Street 1 Ward 3 Somolu,6196954.5,15785967.22,False,Tech,92.2,2025-12-19
98,Troy Allen,33,Restaurant manager,Amuwo-Odofin,Ward 5 Amuwo-Odofin,Street 4 Ward 5 Amuwo-Odofin,2971419.0,11339913.34,False,Finance,85.56,2020-03-16
99,Jessica Lucas,45,"Engineer, electrical",Ajah,Ward 5 Ajah,Street 7 Ward 5 Ajah,5951503.5,23187207.12,True,Retail,60.02,2024-03-11
100,Nathan Sims,37,Chiropractor,Shomolu,Ward 5 Shomolu,Street 10 Ward 5 Shomolu,6545421.0,14857011.65,False,Hospitality,81.17,2025-07-17
101,Sarah Sanchez,53,Data scientist,Surulere,Ward 5 Surulere,Street 2 Ward 5 Surulere,5762164.0,10432308.24,True,Real Estate,96.42,2020-05-10
102,Nicholas Hill,39,Operational researcher,Shomolu,Ward 4 Shomolu,Street 2 Ward 4 Shomolu,3160801.5,7810668.44,True,Manufacturing,70.65,2023-11-27
103,Dana Chen,49,English as a foreign language teacher,Shomolu,Ward 5 Shomolu,Street 1 Ward 5 Shomolu,3797409.0,11723660.48,True,Hospitality,74.57,2022-05-09
104,Monica Wilson,55,Fitness centre manager,Apapa,Ward 4 Apapa,Street 5 Ward 4 Apapa,968730.0,1592598.55,False,Transport,53.11,2020-07-10
105,Michael Vaughn,25,"Therapist, music",Lekki,Ward 3 Lekki,Street 5 Ward 3 Lekki,3649388.0,13568920.84,True,Manufacturing,48.11,2021-10-27
106,Jacqueline Diaz,42,"Scientist, research (physical sciences)",Kosofe,Ward 1 Kosofe,Street 1 Ward 1 Kosofe,4251495.0,7130512.59,True,Transport,69.53,2020-08-03
107,Stephanie Dawson,29,Aeronautical engineer,Eti-Osa,Ward 4 Eti-Osa,Street 9 Ward 4 Eti-Osa,1125138.0,2068018.24,True,Transport,40.87,2021-07-22
108,Stephanie Hill,37,"Designer, ceramics/pottery",Agege,Ward 5 Agege,Street 4 Ward 5 Agege,2260711.0,4602005.5,False,Finance,46.34,2020-04-21
109,Melinda Rogers,31,"Engineer, petroleum",Ajah,Ward 4 Ajah,Street 10 Ward 4 Ajah,5378797.5,14459269.86,True,Tech,91.25,2025-06-18
110,Brenda Hammond,61,Environmental education officer,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 9 Ward 4 Ifako-Ijaiye,3733353.0,13691126.22,False,Transport,51.99,2022-09-16
111,Mary Wang,49,Commercial horticulturist,Ikeja,Ward 3 Ikeja,Street 6 Ward 3 Ikeja,904722.5,3554959.42,False,Real Estate,70.91,2024-04-21
112,Alyssa Key,28,"Surveyor, insurance",Shomolu,Ward 1 Shomolu,Street 1 Ward 1 Shomolu,847405.5,3339971.7,True,Real Estate,46.4,2025-01-07
113,Mark Torres,36,"Editor, magazine features",Kosofe,Ward 5 Kosofe,Street 3 Ward 5 Kosofe,589288.5,1104852.31,True,Hospitality,56.52,2021-07-07
114,Scott Wilson,66,"Accountant, chartered certified",Victoria Island,Ward 5 Victoria Island,Street 9 Ward 5 Victoria Island,2458844.0,9380921.64,False,Real Estate,56.52,2023-02-17
115,Mitchell Walton,21,Agricultural consultant,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 7 Ward 4 Ifako-Ijaiye,6422664.0,14088795.0,False,Real Estate,43.91,2022-04-27
116,Michael Harris,27,Research scientist (medical),Surulere,Ward 5 Surulere,Street 6 Ward 5 Surulere,7649592.0,14468431.73,False,Manufacturing,83.78,2021-05-03
117,Danielle Moore,24,Banker,Ikeja,Ward 2 Ikeja,Street 9 Ward 2 Ikeja,8041055.0,27139785.7,False,Hospitality,58.73,2020-07-22
118,Shannon Castillo,22,Building surveyor,Badagry,Ward 3 Badagry,Street 7 Ward 3 Badagry,3509347.5,13674416.95,False,Retail,66.2,2024-12-13
119,Jeremy Allen,31,"Engineer, maintenance",Ikeja,Ward 3 Ikeja,Street 1 Ward 3 Ikeja,4481635.0,15763460.7,True,Retail,95.2,2023-05-11
120,Wendy Williams,65,Immunologist,Agege,Ward 5 Agege,Street 8 Ward 5 Agege,2449897.0,5741221.05,False,Hospitality,62.62,2024-08-15
121,Madison Gonzalez,62,Mechanical engineer,Surulere,Ward 2 Surulere,Street 3 Ward 2 Surulere,3923576.0,12333646.84,True,Hospitality,53.99,2023-04-24
122,Kristina Lewis,62,Biomedical engineer,Lekki,Ward 1 Lekki,Street 1 Ward 1 Lekki,10650624.0,22371621.12,True,Manufacturing,97.57,2020-05-01
123,Brian Jones,59,"Physicist, medical",Kosofe,Ward 5 Kosofe,Street 4 Ward 5 Kosofe,6693742.5,18333011.42,True,Transport,96.87,2020-04-03
124,Rodney Stokes,33,Learning mentor,Shomolu,Ward 1 Shomolu,Street 5 Ward 1 Shomolu,5535399.0,17735700.31,False,Real Estate,44.92,2022-06-21
125,Jesse Smith,66,Biomedical scientist,Ikorodu,Ward 5 Ikorodu,Street 2 Ward 5 Ikorodu,4220499.0,11465774.54,False,Finance,71.7,2020-05-17
126,Edwin Patterson,52,Research scientist (life sciences),Ikeja,Ward 3 Ikeja,Street 6 Ward 3 Ikeja,8147962.5,13225469.94,True,Tech,73.71,2021-07-15
127,Allen Parrish,24,Commercial art gallery manager,Epe,Ward 3 Epe,Street 5 Ward 3 Epe,4452574.5,16990944.17,True,Tech,52.87,2025-11-16
128,Linda Becker,63,Estate manager/land agent,Alimosho,Ward 2 Alimosho,Street 2 Ward 2 Alimosho,2302991.0,8543662.27,True,Retail,95.98,2020-07-20
129,Sarah Robinson DDS,58,Animal nutritionist,Victoria Island,Ward 2 Victoria Island,Street 5 Ward 2 Victoria Island,11594316.0,30929709.57,False,Transport,79.97,2020-04-23
130,Joseph Freeman,42,Clinical psychologist,Shomolu,Ward 4 Shomolu,Street 5 Ward 4 Shomolu,1994116.5,6688029.71,False,Transport,71.12,2021-09-03
131,Kevin Burke,49,"Surveyor, building",Mushin,Ward 1 Mushin,Street 1 Ward 1 Mushin,7252650.0,23753244.26,False,Finance,51.0,2025-05-12
132,Darrell Phelps,45,"Scientist, research (medical)",Ajah,Ward 2 Ajah,Street 3 Ward 2 Ajah,5003770.5,7718032.72,True,Finance,64.41,2023-05-02
133,Andrea Mcdonald,34,Landscape architect,Somolu,Ward 1 Somolu,Street 4 Ward 1 Somolu,4639771.5,7735237.81,True,Tech,72.59,2023-10-11
134,Joel Randolph,67,Geographical information systems officer,Badagry,Ward 3 Badagry,Street 8 Ward 3 Badagry,2180682.0,3815273.75,False,Real Estate,80.14,2025-03-13
135,Victor Fisher,45,"Doctor, general practice",Shomolu,Ward 1 Shomolu,Street 7 Ward 1 Shomolu,5686140.0,8753179.16,False,Finance,44.16,2022-05-25
136,Jonathan Wilcox,37,Heritage manager,Ajah,Ward 2 Ajah,Street 4 Ward 2 Ajah,5067568.5,18509103.61,True,Hospitality,48.47,2020-05-04
137,Gary Middleton,52,"Engineer, agricultural",Ikorodu,Ward 2 Ikorodu,Street 5 Ward 2 Ikorodu,4592780.0,13562957.72,False,Retail,58.78,2024-12-27
138,Scott Savage,22,Physiological scientist,Somolu,Ward 2 Somolu,Street 10 Ward 2 Somolu,1647798.0,3240426.88,False,Hospitality,46.4,2025-01-10
139,Jack Lewis,39,Operations geologist,Agege,Ward 4 Agege,Street 1 Ward 4 Agege,957891.0,3335371.65,True,Finance,44.91,2022-11-21
140,Brett Taylor,51,Paramedic,Yaba,Ward 2 Yaba,Street 1 Ward 2 Yaba,2507100.0,8424974.5,False,Real Estate,62.62,2020-04-08
141,Billy Bradley,64,Research scientist (life sciences),Oshodi-Isolo,Ward 4 Oshodi-Isolo,Street 2 Ward 4 Oshodi-Isolo,1585123.5,5320524.44,True,Retail,78.45,2024-07-30
142,Daniel Brewer,64,Applications developer,Ifako-Ijaiye,Ward 1 Ifako-Ijaiye,Street 8 Ward 1 Ifako-Ijaiye,7299615.0,24171238.89,False,Finance,49.73,2021-07-06
143,Zachary Carpenter,54,Secondary school teacher,Ikeja,Ward 2 Ikeja,Street 8 Ward 2 Ikeja,12473342.5,33154053.53,True,Real Estate,90.39,2026-01-18
144,Tyler Watkins,32,"Chemist, analytical",Ikorodu,Ward 4 Ikorodu,Street 7 Ward 4 Ikorodu,2783648.0,7033796.86,True,Transport,74.82,2024-11-09
145,Peggy Williams,57,Firefighter,Epe,Ward 1 Epe,Street 7 Ward 1 Epe,4986385.5,14642216.36,False,Transport,69.11,2024-05-21
146,Joseph Johnson,29,Personal assistant,Mushin,Ward 1 Mushin,Street 5 Ward 1 Mushin,626481.0,2206705.5,False,Finance,72.32,2020-01-20
147,Michelle Lynch,27,Travel agency manager,Amuwo-Odofin,Ward 2 Amuwo-Odofin,Street 8 Ward 2 Amuwo-Odofin,7481139.0,25063284.7,True,Real Estate,77.65,2024-10-03
148,James Flowers,47,Armed forces operational officer,Ikorodu,Ward 3 Ikorodu,Street 8 Ward 3 Ikorodu,3726116.0,9826086.4,False,Manufacturing,58.05,2025-11-21
149,Tony Meyers,55,"Surveyor, mining",Surulere,Ward 5 Surulere,Street 5 Ward 5 Surulere,9804556.0,15628385.11,False,Manufacturing,81.87,2021-12-21
150,Ronnie Rogers,27,"Scientist, physiological",Lekki,Ward 2 Lekki,Street 7 Ward 2 Lekki,17784480.0,45445344.35,False,Transport,61.79,2025-12-27
151,Karen Ramirez,63,Accommodation manager,Ajah,Ward 3 Ajah,Street 2 Ward 3 Ajah,4016430.0,11209904.51,False,Real Estate,80.23,2025-09-21
152,Dr. Kristin Walker DDS,63,Probation officer,Apapa,Ward 5 Apapa,Street 7 Ward 5 Apapa,2019268.5,5719382.59,False,Retail,98.07,2023-09-08
153,Brianna Johnson,56,Software engineer,Somolu,Ward 4 Somolu,Street 4 Ward 4 Somolu,7344256.5,23260083.48,False,Retail,63.06,2024-12-12
154,Pamela Hall,46,General practice doctor,Badagry,Ward 4 Badagry,Street 6 Ward 4 Badagry,2016742.5,6756047.72,False,Tech,78.4,2020-04-06
155,Ryan Matthews,60,Lexicographer,Apapa,Ward 2 Apapa,Street 3 Ward 2 Apapa,1739230.5,4917190.53,False,Real Estate,44.3,2025-06-11
156,Don Leon,31,Immunologist,Yaba,Ward 4 Yaba,Street 5 Ward 4 Yaba,4947466.0,11809614.09,False,Retail,88.11,2023-08-27
157,Eric Williams,58,"Scientist, forensic",Agege,Ward 3 Agege,Street 4 Ward 3 Agege,290908.0,615204.7,True,Finance,59.82,2022-11-23
158,Ebony Munoz,23,"Restaurant manager, fast food",Lekki,Ward 5 Lekki,Street 4 Ward 5 Lekki,6666280.0,19362478.21,True,Manufacturing,68.99,2025-08-25
159,Angelica Rodriguez,48,"Psychologist, clinical",Surulere,Ward 5 Surulere,Street 6 Ward 5 Surulere,1150912.0,1915100.65,False,Transport,72.22,2021-01-30
160,Joseph Clements,42,Early years teacher,Alimosho,Ward 2 Alimosho,Street 4 Ward 2 Alimosho,3958216.0,8817403.22,True,Hospitality,78.26,2022-09-14
161,Michael Huff,55,"Surveyor, rural practice",Epe,Ward 3 Epe,Street 2 Ward 3 Epe,2375227.5,9175953.53,True,Retail,65.3,2022-08-24
